AnotherStarPublic,2024-06=19 17:45:56,불필요 레벨 정리 및 복제
AnotherStarPublic,2024-06=19 16:38:48,JH : 거인 꽃, 동굴2 배치
AnotherStarPublic,2024-06=19 14:13:05,JH : 거인 뿔, 꽃
AnotherStarPublic,2024-06=18 13:34:22,JH : 거인 뿔 꽃
AnotherStarPublic,2024-06=17 12:47:44,0617HS
AnotherStarPublic,2024-06=14 18:07:56,Merge branch 'main' of https://github.com/AnotherStarPublic/AnotherStarArt
AnotherStarPublic,2024-06=14 18:06:33,0614HS
AnotherStarPublic,2024-06=14 18:04:53,JH : 그믐달 거인, 뿔, 꽃
AnotherStarPublic,2024-06=13 19:09:52,프랍 vr 확인
AnotherStarPublic,2024-06=13 19:06:21,0613HS
AnotherStarPublic,2024-06=12 18:21:40,JH : 거인 메터리얼 수정
AnotherStarPublic,2024-06=12 18:08:42,0612HS
AnotherStarPublic,2024-06=12 16:00:31,JH : 그믐달 거인
AnotherStarPublic,2024-06=11 13:24:56,JH : 그믐달 거인 뿔
AnotherStarPublic,2024-06=10 14:46:28,JH : 그믐달정원 동굴1 덩굴
AnotherStarPublic,2024-06=07 18:37:09,JH : 그믐달 동굴1 덩굴
AnotherStarPublic,2024-06=07 16:26:50,JH : 그믐달 지형, 아이비
AnotherStarPublic,2024-06=05 18:17:43,JH : 그믐달 동굴1 배치, 덩굴
AnotherStarPublic,2024-06=04 14:01:17,JH : 그믐달 동굴1
AnotherStarPublic,2024-06=03 18:57:11,그믐달 맵 VR 확인
AnotherStarPublic,2024-05=30 18:57:22,JH : 그믐달 동굴1, 물
AnotherStarPublic,2024-05=30 14:56:07,레벨 복제
AnotherStarPublic,2024-05=29 19:12:45,거인 vr 확인
AnotherStarPublic,2024-05=28 17:18:23,0528HS
AnotherStarPublic,2024-05=28 13:38:24,JH : 그믐달노래정원 동굴1
AnotherStarPublic,2024-05=27 18:10:43,0527HS
AnotherStarPublic,2024-05=23 20:07:19,JH : 그믐달 물, 갓레이
AnotherStarPublic,2024-05=23 18:15:58,0523HS
AnotherStarPublic,2024-05=22 19:16:19,JH : 그믐달 거인 VR 테스트
AnotherStarPublic,2024-05=22 19:12:45,0522HS
AnotherStarPublic,2024-05=22 14:37:55,Coral 임포트
AnotherStarPublic,2024-05=22 12:28:26,JH : 그믐달 동선, 폴리지 수정
AnotherStarPublic,2024-05=21 18:02:16,0521HS
AnotherStarPublic,2024-05=21 13:14:46,Water Materials 마이그레이션
AnotherStarPublic,2024-05=21 12:58:31,JH : 그믐달 지형
AnotherStarPublic,2024-05=20 18:03:50,Merge branch 'main' of https://github.com/AnotherStarPublic/AnotherStarArt
AnotherStarPublic,2024-05=20 17:55:37,JH : Fluidflux 테스트
AnotherStarPublic,2024-05=20 17:50:23,0520HS
